year,month,state,incidences
2022,4,Bayern,1157.1399202048358
2022,5,Bayern,485.9735211083111
2022,6,Bayern,432.6615637811238
2022,7,Bayern,862.0631598154592
2022,8,Bayern,336.2890732742388
2022,9,Bayern,338.105313740491
2022,10,Bayern,727.5275543331759
2022,11,Bayern,157.5205585029074
2022,12,Bayern,123.37000215226122
2023,1,Bayern,95.98667682088714
2020,3,Saarland,15.719414590217486
2020,4,Saarland,42.50700023481157
2020,5,Saarland,4.130984657299686
2020,6,Saarland,1.5710657865983677
2020,7,Saarland,1.5729265904980518
2020,8,Saarland,5.904221314646134
2020,9,Saarland,5.768492089022084
2020,10,Saarland,66.4471180766766
2020,11,Saarland,148.3588300683668
2020,12,Saarland,164.86832010257976
2021,1,Saarland,129.47254615899212
2021,2,Saarland,86.22199057767716
2021,3,Saarland,67.61614076189018
2021,4,Saarland,123.91399653347555
2021,5,Saarland,89.32515472803344
2021,6,Saarland,18.764565442524777
2021,7,Saarland,12.642520612562633
2021,8,Saarland,50.47485307420786
2021,9,Saarland,72.87302123755194
2021,10,Saarland,54.30701451702879
2021,11,Saarland,250.1964680540908
2021,12,Saarland,302.7735916987305
2022,1,Saarland,609.4088987845711
2022,2,Saarland,1403.186912522708
2022,3,Saarland,1943.1324317497636
2022,4,Saarland,1371.252007095924
2022,5,Saarland,393.477930493589
2022,6,Saarland,537.8711685336223
2022,7,Saarland,991.035697618228
2022,8,Saarland,373.0331685887021
2022,9,Saarland,393.5706423114144
2022,10,Saarland,1052.4290912214672
2022,11,Saarland,238.56447341810977
2022,12,Saarland,222.225958424562
2023,1,Saarland,184.6909335905089
2020,3,Berlin,14.42523208790555
2020,4,Berlin,21.55738144754513
2020,5,Berlin,6.138508613631076
2020,6,Berlin,9.044256489240432
2020,7,Berlin,5.711321746692189
2020,8,Berlin,12.261227979613484
2020,9,Berlin,20.624675501721477
2020,10,Berlin,94.24338767360804
2020,11,Berlin,211.8719961248742
2020,12,Berlin,197.28489500922228
2021,1,Berlin,142.22164819535217
2021,2,Berlin,64.99806699509104
2021,3,Berlin,97.83017843112984
2021,4,Berlin,136.6300908160098
2021,5,Berlin,72.16037047609986
2021,6,Berlin,15.02934624655198
2021,7,Berlin,16.541868453251617
2021,8,Berlin,62.782434553217634
2021,9,Berlin,83.30632202411512
2021,10,Berlin,104.88358622795856
2021,11,Berlin,315.5700437691979
2021,12,Berlin,337.82323396914177
2022,1,Berlin,1203.9073265196766
2022,2,Berlin,1403.6709767703776
2022,3,Berlin,1018.9450621198122
2022,4,Berlin,617.2827420575874
2022,5,Berlin,333.73381882813754
2022,6,Berlin,329.69297024332656
2022,7,Berlin,498.8068942732329
2022,8,Berlin,288.65727115204805
2022,9,Berlin,225.77013049544175
2022,10,Berlin,402.4459930538537
2022,11,Berlin,193.729097960048
2022,12,Berlin,252.81831053085276
2023,1,Berlin,146.67684757355053
2020,3,Brandenburg,7.1103624342647365
2020,4,Brandenburg,18.55625798242199
2020,5,Brandenburg,3.7331309384046376
2020,6,Brandenburg,1.6023948710755116
2020,7,Brandenburg,1.471898408809182
